Compound,RF,NN
CMP821,9.416039751,9.277703094
CMP822,9.821557714,10.79777418
CMP823,9.782199608,7.245940656
CMP824,8.439588776,9.317923206
CMP825,9.840298967,10.32938462
CMP826,8.879471518,8.897608783
CMP827,8.573928717,7.209380348
CMP828,8.959718513,9.563446201
CMP829,9.321761752,8.271931738
CMP830,9.36110622,11.0879778
CMP831,6.539002102,2.866665394
CMP832,6.539121661,5.157005313
CMP833,6.352965187,6.584961418
CMP834,8.144583508,7.36178744
CMP835,9.817493387,8.735598981
CMP836,8.95534057,10.56019413
CMP837,8.259118121,9.234578117
CMP838,9.009593949,9.443585628
CMP839,9.342814696,7.626162607
CMP840,8.543212795,8.4331486
CMP841,9.027186621,9.008398847
CMP842,9.621448925,8.240909871
CMP843,6.587946107,0.240050792
CMP844,7.443076263,7.205675376
CMP845,7.04249622,9.223521676
CMP846,6.107068282,7.881181254
CMP847,7.4524411,7.979328793
CMP848,7.877013332,8.33724342
CMP849,7.798112959,6.921973768
CMP850,7.216057435,6.935234841
CMP851,8.9366737,9.771873516
CMP852,6.371439731,3.651493145
CMP853,8.989343636,9.0440212
CMP854,6.515360528,6.939161702
CMP855,9.542343417,4.497765267
CMP856,8.106731082,9.893973327
CMP857,7.249522337,7.326959302
CMP858,7.863240596,7.177711218
CMP859,9.07683113,10.86301371
CMP860,7.66385713,8.503361196
CMP861,9.133834795,6.80847466
CMP862,9.665387902,8.034108785
CMP863,7.584518401,6.652020357
CMP864,9.149468645,10.59583181
CMP865,9.58534039,9.840835532
CMP866,7.433209649,5.552390695
CMP867,8.918525913,6.612029081
CMP868,9.713674158,8.381277372
CMP869,9.115188287,8.938315344
CMP870,8.026996888,9.093361197
CMP871,9.30765693,4.575257821
CMP872,8.345129976,8.19397395
CMP873,7.64766613,9.538253529
CMP874,9.210160486,9.967857343
CMP875,7.601639998,4.684377767
CMP876,7.537481508,7.127366074
CMP877,9.435775798,9.173813534
CMP878,9.776266009,8.658482232
CMP879,8.289896783,9.905563506
CMP880,8.569567398,10.70046532
CMP881,9.322540837,10.30421615
CMP882,9.474827143,10.80500515
CMP883,9.482557481,8.975887706
CMP884,7.153015401,7.582781381
CMP885,9.854189804,10.0447547
CMP886,9.506582652,10.15970389
CMP887,9.507966472,8.458459467
CMP888,9.823685384,10.2431382
CMP889,7.008911492,8.858251976
CMP890,9.456784013,10.4362169
CMP891,9.736647259,8.810323989
CMP892,7.800014296,9.613072987
CMP893,5.921892595,3.414226769
CMP894,9.494786218,9.216489815
CMP895,9.634100924,10.01487239
CMP896,9.5243305,10.19254375
CMP897,8.975834514,9.66889477
CMP898,9.056893547,9.784009619
CMP899,9.543843509,9.784966206
CMP900,8.967436831,8.199545362
CMP901,9.37414682,11.1110832
CMP902,7.763915648,7.088824155
CMP903,9.233394252,10.39416577
CMP904,8.784446891,4.721574432
CMP905,7.320863177,4.994497278
CMP906,9.77038851,8.232095726
CMP907,7.122307517,8.010387679
CMP908,9.1221235,11.0500527
CMP909,7.070997197,8.060677523
CMP910,10.18166674,10.74428048
CMP911,7.177255831,8.509732077
CMP912,6.420752561,4.27515345
CMP913,7.432518151,7.067850827
CMP914,8.480034461,8.599945745
CMP915,7.776028089,8.580063232
CMP916,9.171963144,7.886216963
CMP917,6.226821671,7.948633855
CMP918,8.551477774,9.609604949
CMP919,7.043715814,9.038186921
CMP920,7.085125681,4.939773084
CMP921,9.220896519,8.58603817
CMP922,9.35357604,8.276963156
CMP923,7.415074752,6.917263477
CMP924,8.915442693,9.190680217
CMP925,9.336473746,9.569155499
CMP926,6.938838159,5.50883829
CMP927,8.444571396,9.353744434
CMP928,6.590903385,9.637362085
CMP929,7.745232273,8.028892345
CMP930,7.28035932,7.066284355
CMP931,7.351583127,8.518064019
CMP932,8.673390192,7.210184966
CMP933,9.571766812,10.1524569
CMP934,7.466246787,7.184557828
CMP935,9.14654541,10.37971143
CMP936,7.427463609,6.549032228
CMP937,7.70520766,6.9689957
CMP938,8.819547573,7.073228363
CMP939,9.16752987,9.483788904
CMP940,7.061364358,8.032389664
CMP941,7.911775305,8.152334461
CMP942,7.911230465,10.41120189
CMP943,8.195300728,10.54255571
CMP944,9.133987968,8.978146386
CMP945,7.702072348,7.610152241
CMP946,9.700774862,9.835338775
CMP947,7.287750675,9.497454239
CMP948,9.666114937,10.00977433
CMP949,6.477814771,7.214116131
CMP950,6.684204548,8.028081104
CMP951,8.527764061,10.1870144
CMP952,9.279766675,9.853448422
CMP953,7.339317977,5.478083484
CMP954,7.105712101,7.580893275
CMP955,8.7467114,8.697997296
CMP956,9.871359604,10.11220615
CMP957,8.237750104,9.483059742
CMP958,8.180482145,8.393611097
CMP959,9.522448115,10.08319347
CMP960,9.00715624,7.888523219
CMP961,9.486127608,10.34528588
CMP962,9.512746071,10.43228972
CMP963,9.591448194,10.70644093
CMP964,9.760463324,10.45356831
CMP965,8.976480112,7.584689635
CMP966,9.34717508,9.397186811
CMP967,9.646030999,8.867314729
CMP968,6.817348889,6.56065869
CMP969,9.603299054,8.551975772
CMP970,7.824948748,7.634693209
CMP971,7.039243259,7.575607064
CMP972,7.465023314,7.197407876
CMP973,6.40651924,7.536115547
CMP974,9.316137712,11.10130518
CMP975,8.474711195,6.975965107
CMP976,6.560220924,7.506541044
CMP977,5.835655991,4.667685001
CMP978,9.255156797,8.322668322
CMP979,8.110080139,8.968510338
CMP980,6.527306652,5.620819188
CMP981,9.597674649,8.896926585
CMP982,9.226258208,7.958255646
CMP983,9.53550526,9.281847028
CMP984,9.056729253,8.449866454
CMP985,7.330940516,8.512545635
CMP986,8.288333537,10.32851578
CMP987,7.248234154,9.581015148
CMP988,8.828711127,6.717342406
CMP989,7.975316571,7.34244727
CMP990,9.221225187,9.394816674
CMP991,8.930366027,7.049073897
CMP992,9.363360067,6.756486891
CMP993,7.754122186,9.250069535
CMP994,7.25924869,8.672282663
CMP995,6.937015122,7.539929875
CMP996,7.921034424,8.663280499
CMP997,7.370909946,6.680021964
CMP998,9.352221587,10.14715244
CMP999,9.727962997,8.807439162
CMP1000,8.960273114,9.553944103
CMP1001,7.854521557,7.923275475
CMP1002,7.767233463,9.333855864
CMP1003,7.767122429,9.290328166
CMP1004,7.527446585,10.00562703
CMP1005,7.890513964,7.423991284
CMP1006,8.97155489,10.51266382
CMP1007,8.741251112,8.255581453
CMP1008,9.985580078,10.21798112
CMP1009,8.038043856,9.010791437
CMP1010,9.113393707,8.566491177
CMP1011,7.165413676,6.807248967
CMP1012,8.998323283,7.138660612
CMP1013,9.315752253,10.11681258
CMP1014,8.579439715,10.12953018
CMP1015,6.667338279,5.761059973
CMP1016,8.808671113,10.55812369
CMP1017,9.932474506,10.23326457
CMP1018,9.381140158,9.614287903
CMP1019,7.899769255,9.801440769
CMP1020,9.659080672,8.723817707
CMP1021,9.746768999,10.70016852
CMP1022,8.685529124,11.0519189
CMP1023,9.139001579,11.02250326
CMP1024,9.800545877,9.857457804
CMP1025,9.54399256,10.53184989
CMP1026,8.915527759,6.024749236
CMP1027,9.52972924,9.290595656
CMP1028,8.82440662,8.431127573
CMP1029,9.282336421,7.604372801
CMP1030,8.969554375,7.183617667
CMP1031,8.902009082,9.526904579
CMP1032,9.461814748,9.798085095
CMP1033,8.718087131,5.938409202
CMP1034,7.250887452,9.890268824
CMP1035,8.355681571,8.958678253
CMP1036,5.99645796,6.511061373
CMP1037,7.823083462,9.706900189
CMP1038,9.213138378,10.18067934
CMP1039,9.809058791,8.950366368
CMP1040,9.714572205,9.946237405
CMP1041,7.48505358,5.417420216
CMP1042,9.117438903,9.310003789
CMP1043,8.995289938,8.326942541
CMP1044,9.321688071,9.669431303
CMP1045,7.391766343,9.271686889
CMP1046,9.198365024,8.689991314
CMP1047,6.548971695,5.668930113
CMP1048,7.105749032,5.042603344
CMP1049,9.706476632,9.866756285
CMP1050,9.18898242,10.28197827
CMP1051,9.113837971,8.075935184
CMP1052,6.941952626,6.85772651
CMP1053,8.591574112,6.659965487
CMP1054,8.818110157,8.195778129
CMP1055,9.219899661,7.906655652
CMP1056,6.159366353,6.784835571
CMP1057,7.51037295,6.751191443
CMP1058,7.106059019,4.375948483
CMP1059,9.000261098,5.590660887
CMP1060,9.218945371,8.830994447
CMP1061,9.71419611,8.650679562
CMP1062,7.803514158,8.268428023
CMP1063,9.624982082,8.029358557
CMP1064,9.119991906,10.96886947
CMP1065,8.308373417,7.038723669
CMP1066,8.476943369,8.242511982
CMP1067,9.063746998,8.717304705
CMP1068,7.934951982,8.850032578
CMP1069,8.166780483,8.459556927
CMP1070,9.463259053,7.473922106
CMP1071,7.31979598,8.18346007
CMP1072,8.575887533,8.232078317
CMP1073,9.349149571,7.306737565
CMP1074,8.206708485,10.04318411
CMP1075,9.315683025,10.75577921
CMP1076,6.430134451,7.102725051
CMP1077,8.859970796,7.805067092
CMP1078,9.128511617,8.35475469
CMP1079,9.620031158,8.976200214
CMP1080,9.171668577,9.801467424
CMP1081,9.509473697,10.08648625
CMP1082,6.603099173,5.738566247
CMP1083,9.97190713,10.46227221
CMP1084,9.596947333,8.801459605
CMP1085,7.977154849,6.78470125
CMP1086,9.491757056,8.538588165
CMP1087,7.650191699,9.274512191
CMP1088,9.022162899,8.364423634
CMP1089,9.484706234,9.761170177
CMP1090,9.082244743,7.999987753
CMP1091,9.781360065,10.43679812
CMP1092,8.691926197,8.317035527
CMP1093,8.866218519,7.138746895
CMP1094,9.410333439,8.1426691
CMP1095,7.743296714,8.386904129
CMP1096,6.832363945,7.958991058
CMP1097,7.05458084,6.675455546
CMP1098,6.535969553,7.659719368
CMP1099,7.582295054,7.319721647
CMP1100,8.858677363,9.681732994
CMP1101,7.934201579,10.54613642
CMP1102,7.775960452,8.615319503
CMP1103,8.523608354,7.758292053
CMP1104,8.961126186,10.62733197
CMP1105,9.528263783,7.328765363
CMP1106,9.418315616,9.045846413
CMP1107,9.41736831,9.559312446
CMP1108,6.824624449,6.130015837
CMP1109,6.657870897,7.073946564
CMP1110,9.225428001,10.67017139
CMP1111,9.528660158,11.19746841
CMP1112,6.898421566,4.185424017
CMP1113,7.997644296,9.092650301
CMP1114,8.559384222,7.205652564
CMP1115,7.023967743,7.536156774
CMP1116,6.603708269,6.114117403
CMP1117,7.420937476,5.855877751
CMP1118,8.294261122,8.870035011
CMP1119,8.888477946,8.211011841
CMP1120,9.792158584,9.932187287
CMP1121,8.400285643,10.23994436
CMP1122,9.154934251,8.415693284
CMP1123,9.032981398,6.667021207
CMP1124,9.373468576,6.935684547
CMP1125,6.620924838,4.468343008
CMP1126,9.09104296,7.002593004
CMP1127,8.304326868,9.811281993
CMP1128,8.942119581,6.87101989
CMP1129,7.808829447,8.386994062
CMP1130,8.358073255,9.958671373
CMP1131,6.769428934,8.155213491
CMP1132,8.515355069,10.13095822
CMP1133,9.703051702,9.243074012
CMP1134,9.551374349,8.618104875
CMP1135,9.573228752,10.43898333
CMP1136,9.775240077,11.1677934
CMP1137,7.573181413,8.03687249
CMP1138,7.030714882,7.206545912
CMP1139,7.30751402,8.336024115
CMP1140,8.907160195,8.72364647
CMP1141,7.78696576,7.667955009
CMP1142,6.547306384,4.289066223
CMP1143,9.421591921,9.341905084
CMP1144,7.760613831,6.051544301
CMP1145,9.544876864,10.61277272
CMP1146,9.156218048,7.765530064
CMP1147,8.972974694,9.987393422
CMP1148,9.208761502,9.90877846
CMP1149,7.707091136,6.844818386
CMP1150,7.958018228,8.142849653
CMP1151,9.582219526,8.852899485
CMP1152,8.829735728,10.5365063
CMP1153,9.382516604,8.020301503
CMP1154,9.311928271,7.952823794
CMP1155,6.15536593,6.101379243
CMP1156,9.074938763,5.879989399
CMP1157,9.502071322,8.317857247
CMP1158,9.359674935,9.955932729
CMP1159,6.762248739,6.666222784
CMP1160,8.508182297,8.501495224
CMP1161,9.276829438,8.146823552
CMP1162,8.858558072,6.210408621
CMP1163,9.614956318,10.04461933
CMP1164,6.76930211,8.708020952
CMP1165,7.852497619,2.874319305
CMP1166,9.154830988,7.005401012
CMP1167,10.03092161,9.36860352
CMP1168,8.237278148,8.094461038
CMP1169,7.828939,5.77787022
CMP1170,7.006921485,6.933292457
CMP1171,6.56687324,7.472732985
CMP1172,6.97758844,9.063334339
CMP1173,9.136768472,9.65205949
CMP1174,9.142334359,10.19034592
CMP1175,8.715483691,10.96173716
CMP1176,9.45293489,10.96117248
CMP1177,9.417965566,9.562977673
CMP1178,6.132791682,7.088948675
CMP1179,8.789007021,8.182467181
CMP1180,6.904734616,7.828263329
CMP1181,9.393378608,10.26701099
CMP1182,6.798957744,8.244996453
CMP1183,7.324736933,8.500401974
CMP1184,6.791705497,4.48412414
CMP1185,8.635654266,6.402865158
CMP1186,8.79430645,9.620702051
CMP1187,8.47442069,8.55598654
CMP1188,9.185863216,6.489004165
CMP1189,7.46104035,7.004184066
CMP1190,9.162612629,7.75587097
CMP1191,7.093863348,7.158474905
CMP1192,9.184661834,6.636573696
CMP1193,9.651212882,10.01137814
CMP1194,9.23611559,5.384252741
CMP1195,8.774802522,10.08020358
CMP1196,7.83457193,7.849826171
CMP1197,9.350881281,9.301885913
CMP1198,7.071215912,8.373789644
CMP1199,7.705499753,9.042900199
CMP1200,9.331720639,8.222603867
CMP1201,9.24670302,9.360914498
CMP1202,8.170130251,7.138914659
CMP1203,9.068945207,9.779725684
CMP1204,9.059853803,7.833252893
CMP1205,9.213135561,7.934345843
CMP1206,7.896495919,8.564016369
CMP1207,8.760047733,10.24766777
CMP1208,9.231870626,10.61895661
CMP1209,7.714287786,7.443605962
CMP1210,9.67614306,8.676778091
CMP1211,7.858672387,6.783414647
CMP1212,8.540922867,10.60380829
CMP1213,6.01106174,3.609590799
CMP1214,9.515724669,8.176639748
CMP1215,9.281765477,7.225253254
CMP1216,9.689109488,9.769044096
CMP1217,7.185784054,5.889904718
CMP1218,9.828056505,10.35086659
CMP1219,8.971598554,9.858670391
CMP1220,8.386179707,9.596407878
CMP1221,9.05244674,7.817275482
CMP1222,8.336522563,6.760667944
CMP1223,9.229288422,9.274717078
CMP1224,9.664002685,9.453309688
CMP1225,8.727560306,5.990785546
CMP1226,9.621842292,9.824253947
CMP1227,8.22765441,8.980351965
CMP1228,8.221725991,7.648217754
CMP1229,8.620598106,8.951989054
CMP1230,9.187846321,5.502857518
CMP1231,6.484931628,6.824784273
CMP1232,6.911971147,7.372124657
CMP1233,7.187930751,3.319825994
CMP1234,7.550073478,6.679280392
CMP1235,7.429902439,6.546732703
CMP1236,6.307665026,4.631143057
CMP1237,8.501580558,8.467227176
CMP1238,9.41313045,9.55921679
CMP1239,7.716525972,6.790098564
CMP1240,9.156228376,9.644138106
CMP1241,7.202862778,10.23610878
CMP1242,6.745010829,5.592422565
CMP1243,6.290185743,8.358865273
CMP1244,9.263576087,8.32647499
CMP1245,9.713764437,8.958531357
CMP1246,9.263128477,9.286125029
CMP1247,8.100082402,7.50593077
CMP1248,7.603741308,6.610545598
CMP1249,7.811125691,9.524906961
CMP1250,9.45446786,10.66867486
CMP1251,6.657463748,7.31561416
CMP1252,9.117918593,10.54459874
CMP1253,8.419852124,7.702239568
CMP1254,6.925450771,7.602213107
CMP1255,8.911492079,9.572970042
CMP1256,7.422720765,6.135920779
CMP1257,7.368496611,6.776470352
CMP1258,8.638288315,8.680979566
CMP1259,9.675751088,9.366284195
CMP1260,8.175853193,7.145728162
CMP1261,8.243075537,9.165702823
CMP1262,9.522295257,9.861755556
CMP1263,7.175002682,5.309225875
CMP1264,9.01803167,8.188250046
CMP1265,9.167613212,10.34328687
CMP1266,7.026880235,8.70573348
CMP1267,8.819123767,8.539996034
CMP1268,9.341356392,10.47990034
CMP1269,7.456277681,8.55602229
CMP1270,7.866405718,6.15730397
CMP1271,9.142490253,10.31688197
CMP1272,7.504408742,8.031666605
CMP1273,6.797162926,7.244591655
CMP1274,7.425453248,8.763078655
CMP1275,8.93641816,9.87740747
CMP1276,8.011949327,9.613759454
CMP1277,7.296768021,9.620250678
CMP1278,9.159089473,10.2137932
CMP1279,6.504241778,6.006233324
CMP1280,6.897732814,6.513927804
CMP1281,8.15104799,7.411362393
CMP1282,7.864952386,8.713295361
CMP1283,9.160421649,9.663739304
CMP1284,8.25489495,10.89389767
CMP1285,9.276079804,8.84346641
CMP1286,7.289237609,4.477067036
CMP1287,9.194939855,9.818590701
CMP1288,7.666387972,4.686873602
CMP1289,9.083688248,9.335051326
CMP1290,9.350412458,8.120843466
CMP1291,9.269214228,7.893631163
CMP1292,7.813449089,9.500117469
CMP1293,8.955735688,7.286125975
CMP1294,6.027283091,3.986531844
CMP1295,9.73379246,8.529123401
CMP1296,9.269914257,9.833958259
CMP1297,7.350959837,6.109899129
CMP1298,8.935255535,9.503674583
CMP1299,8.244309389,6.221267084
CMP1300,8.95550272,7.698851113
CMP1301,8.494909977,8.13865469
CMP1302,8.800272985,6.472549675
CMP1303,8.122997184,9.063029223
CMP1304,9.148374244,6.297820785
CMP1305,8.067235894,7.591760028
CMP1306,7.409156415,8.495743768
CMP1307,9.378690601,9.375379868
CMP1308,10.02774853,9.200636885
CMP1309,7.176536862,6.6987917
CMP1310,7.234975971,7.203526719
CMP1311,6.879588553,6.026202059
CMP1312,7.023474892,4.79795642
CMP1313,8.598107174,10.56173559
CMP1314,9.183044719,8.654459597
CMP1315,8.99451613,9.449640495
CMP1316,9.614745629,11.05930176
CMP1317,9.402757134,8.966906643
CMP1318,9.317339281,11.21487183
CMP1319,6.841629972,4.635684014
CMP1320,7.787031217,6.337476751
CMP1321,8.889337776,6.320538212
CMP1322,9.229116848,9.053070387
CMP1323,7.667300842,6.571298677
CMP1324,6.743757547,7.218469095
CMP1325,8.730311626,7.440284198
CMP1326,8.41761016,10.03026443
CMP1327,8.170809551,9.779456765
CMP1328,9.440034172,8.78969491
CMP1329,7.995802311,8.27936989
CMP1330,8.050521338,8.803527807
CMP1331,9.227886117,6.424941892
CMP1332,9.228614898,7.795194107
CMP1333,7.242495788,6.291220791
CMP1334,9.076887253,7.537188303
CMP1335,7.576001149,8.062322228
CMP1336,6.957643593,8.02461996
CMP1337,9.760471459,10.87943383
CMP1338,7.269578299,7.013153603
CMP1339,8.921415921,7.382757944
CMP1340,9.197197098,10.15802139
CMP1341,7.715506749,2.918544862
CMP1342,9.447961277,7.301263835
CMP1343,7.035490885,7.358458843
CMP1344,9.33064891,8.462731469
CMP1345,8.557395572,8.048046179
CMP1346,9.168267739,9.549423497
CMP1347,9.754290032,9.060401326
CMP1348,10.18719979,10.68515733
CMP1349,9.462569503,7.537869316
CMP1350,8.926570771,7.471809542
CMP1351,9.321170314,10.68019253
CMP1352,7.705543343,8.482044277
CMP1353,9.198636359,7.875022729
CMP1354,8.891291863,7.644747395
CMP1355,9.377113082,10.5225296
CMP1356,8.588877608,9.568653538
CMP1357,8.470975931,8.226673856
CMP1358,9.216808595,7.654856518
CMP1359,9.686743421,10.34238173
CMP1360,9.517945016,8.493866824
CMP1361,9.064028108,9.195692271
CMP1362,9.039119635,6.939691284
CMP1363,8.635798582,8.59116042
CMP1364,7.665353591,4.666156125
CMP1365,9.331781101,8.362740995
CMP1366,7.027080718,7.151116982
CMP1367,9.233570313,8.844840678
CMP1368,9.501476768,8.243627192
CMP1369,9.706748557,9.568866852
CMP1370,9.225619558,8.742177193
CMP1371,7.348837181,6.872728879
CMP1372,8.285585623,8.211579197
CMP1373,8.303851648,9.127237618
CMP1374,8.383604397,5.136179001
CMP1375,8.852000138,6.974471106
CMP1376,9.161961508,6.569541911
CMP1377,8.099061847,7.970213438
CMP1378,7.437565278,8.721818368
CMP1379,9.38317286,8.300058676
CMP1380,6.670950246,7.859947243
CMP1381,9.730025257,8.906544729
CMP1382,9.457131495,9.051982033
CMP1383,7.746473967,8.790787437
CMP1384,5.843185331,7.590114877
CMP1385,8.811571973,8.977752283
CMP1386,7.724618589,9.94917911
CMP1387,7.74197073,7.524044458
CMP1388,9.698757718,9.542782767
CMP1389,8.605329888,7.111509573
CMP1390,8.843541307,10.47446435
CMP1391,7.713735221,5.220852303
CMP1392,5.920649758,6.80401743
CMP1393,6.697511119,5.536595082
CMP1394,9.483650588,9.704120839
CMP1395,7.194327669,8.389197375
CMP1396,7.42513416,6.663454972
CMP1397,9.318137686,9.571959327
CMP1398,8.414221659,8.247413394
CMP1399,9.501642816,10.76992721
CMP1400,9.604450442,9.207765936
CMP1401,8.062849211,7.948932866
CMP1402,6.748145628,8.614621272
CMP1403,9.192631375,6.69402905
CMP1404,9.217498837,7.885902449
CMP1405,7.212764121,6.465205802
CMP1406,9.564747636,9.999741226
CMP1407,8.518174232,8.365588494
CMP1408,7.443749859,9.901242033
CMP1409,8.70877557,8.71374729
CMP1410,9.296079869,9.557527346
CMP1411,9.600143988,8.848507165
CMP1412,9.548256383,7.532175093
CMP1413,7.271998779,4.759848172
CMP1414,7.100737176,7.931974368
CMP1415,7.167945421,7.827771289
CMP1416,6.524585355,7.11459516
CMP1417,8.05647015,10.57890069
CMP1418,9.654761629,10.17922708
CMP1419,8.974322032,9.936821882
CMP1420,9.008694669,9.399465364
CMP1421,9.209036614,10.81158717
CMP1422,9.488961219,7.727999349
CMP1423,9.615264153,11.01446585
CMP1424,8.452496912,9.656066357
CMP1425,8.278463704,9.070983457
CMP1426,8.858957967,8.644824224
CMP1427,6.720544912,6.134084548
CMP1428,9.33205716,8.096103124
CMP1429,7.390601644,7.064155508
CMP1430,6.226219252,6.419999551
CMP1431,7.549443412,7.470838089
CMP1432,9.203951357,8.299396486
CMP1433,8.231641874,10.64239829
CMP1434,9.598749368,9.685626762
CMP1435,9.650794041,9.808182516
CMP1436,9.176688399,10.65683553
CMP1437,9.235583588,8.984032127
CMP1438,8.991581728,10.18892972
CMP1439,7.493116632,6.5589019
CMP1440,8.268781368,8.407264128
CMP1441,8.521595785,5.182736122
CMP1442,9.078100128,5.900027016
CMP1443,9.390979595,8.419940967
CMP1444,9.025173891,6.863002795
CMP1445,8.34132266,9.299129446
CMP1446,8.217252475,9.529059453
CMP1447,7.780009226,9.999511445
CMP1448,8.41179878,9.572887971
CMP1449,9.240731117,7.365002035
CMP1450,8.329130139,9.261820534
CMP1451,6.859398087,6.666556569
CMP1452,7.619624777,6.0573185
CMP1453,7.82501225,7.230538913
CMP1454,8.480416941,10.0067212
CMP1455,9.145110132,9.02649059
CMP1456,6.763210241,5.615670804
CMP1457,9.156600599,9.668272687
CMP1458,8.903073369,7.422750417
CMP1459,7.45863461,7.289190558
CMP1460,7.533322362,7.963705433
CMP1461,9.442423294,10.51063456
CMP1462,7.423402688,8.743964483
CMP1463,6.935764299,8.05749962
CMP1464,8.268204476,10.13102182
CMP1465,9.396287397,8.810413022
CMP1466,6.4522218,5.26943898
CMP1467,8.599234095,7.738916547
CMP1468,8.537575994,9.593573229
CMP1469,6.761887675,8.81493207
CMP1470,7.508301038,7.02108488
CMP1471,9.810543668,9.865787127
CMP1472,8.232481398,6.139010058
CMP1473,7.531016188,8.981307196
CMP1474,7.255454709,3.522345292
CMP1475,9.191755529,10.60958417
CMP1476,9.276307912,7.894138533
CMP1477,7.115008289,7.986668166
CMP1478,8.23617066,9.3350107
CMP1479,8.948316212,9.144689628
CMP1480,9.151070059,9.695417113
CMP1481,7.179549787,7.664449913
CMP1482,8.245168449,8.364549604
CMP1483,7.897619017,9.152859908
CMP1484,9.703332718,10.83326275
CMP1485,8.833859501,8.673180108
CMP1486,9.471442281,9.441943781
CMP1487,8.304326558,8.350743033
CMP1488,9.553263969,9.176629361
CMP1489,9.761754083,10.64837382
CMP1490,8.836993929,8.58840165
CMP1491,7.215075611,8.635568627
CMP1492,9.18023626,10.90777096
CMP1493,9.405618379,8.322098231
CMP1494,7.999729682,10.54832751
CMP1495,9.32956014,8.833001711
CMP1496,9.395238324,9.662881263
CMP1497,9.616628696,8.475636759
CMP1498,8.978033885,10.63652797
CMP1499,7.597115538,6.068653619
CMP1500,7.533239985,6.311836502
CMP1501,9.19246958,6.860617088
CMP1502,8.815365049,6.435644838
CMP1503,6.28730789,6.424273729
CMP1504,8.034361784,9.049526377
CMP1505,9.091058496,8.349201805
CMP1506,7.894430853,8.815545783
CMP1507,9.594189162,8.85725013
CMP1508,9.158437952,10.10941137
CMP1509,7.556905276,6.340999814
CMP1510,7.231543979,7.527757246
CMP1511,8.509057215,9.150879371
CMP1512,7.248951127,6.676232845
CMP1513,7.887905009,7.078431512
CMP1514,8.929145262,9.072824509
CMP1515,9.687740575,8.308822066
CMP1516,8.484291266,10.05326669
CMP1517,7.390224679,8.560048247
CMP1518,9.5213935,8.351904754
CMP1519,8.511150873,7.054537408
CMP1520,7.911425738,9.460374023
CMP1521,7.522242071,7.269409502
CMP1522,7.4050462,8.479926086
CMP1523,8.341707603,8.598871818
CMP1524,9.293581713,10.95247558
CMP1525,9.525374317,11.00985081
CMP1526,9.124727221,7.582192901
CMP1527,8.490852068,9.659842886
CMP1528,6.61524757,5.460973881
CMP1529,8.383427415,7.010623122
CMP1530,9.174249632,9.361374208
CMP1531,6.827694734,6.36302121
CMP1532,8.961492368,7.653246718
CMP1533,7.491652518,6.310255512
CMP1534,6.874152756,5.26922342
CMP1535,8.062252075,9.586515843
CMP1536,7.19600871,6.887525398
CMP1537,9.84148066,10.09985938
CMP1538,7.335028647,9.190287174
CMP1539,7.223658951,7.019946838
CMP1540,8.590326259,10.21975594
CMP1541,9.25410832,9.305222881
CMP1542,10.08656934,10.81641369
CMP1543,6.849797645,6.500151894
CMP1544,8.345875787,8.259552213
CMP1545,8.55585452,8.083208956
CMP1546,9.184220676,8.435806368
CMP1547,9.180816729,9.63301476
CMP1548,9.134123647,9.859824629
CMP1549,7.944449403,7.240248615
CMP1550,9.226209683,7.721367883
CMP1551,8.893426168,8.21139286
CMP1552,6.338754264,8.175017325
CMP1553,9.151635884,8.825549047
CMP1554,8.927736657,8.602376839
CMP1555,9.031570745,10.18470772
CMP1556,8.215076484,8.640917039
CMP1557,8.409009401,9.067323422
CMP1558,9.483584394,10.08009579
CMP1559,9.142178724,8.514997477
CMP1560,9.672431933,8.329745171
CMP1561,8.001685094,8.007341791
CMP1562,7.587503659,8.613563497
CMP1563,9.415624744,10.06612691
CMP1564,9.346897751,8.134039999
CMP1565,8.378698339,9.733141645
CMP1566,9.253170414,7.619338592
CMP1567,9.413144446,9.801409916
CMP1568,9.652855874,8.685802173
CMP1569,9.267963038,8.386707198
CMP1570,8.994474504,10.27655963
CMP1571,9.061060659,10.52395032
CMP1572,8.945733747,10.14343547
CMP1573,9.37775513,11.01268601
CMP1574,7.514236964,6.698261381
CMP1575,9.421838812,8.368205049
CMP1576,8.921925241,7.795253427
CMP1577,6.302943384,5.969817393
CMP1578,8.213850478,7.703054421
CMP1579,8.449788957,8.228792847
CMP1580,8.022970592,7.481380798
CMP1581,8.240078428,8.267687121
CMP1582,6.54880709,6.513827074
CMP1583,7.690689107,9.047808146
CMP1584,6.71257424,6.104157108
CMP1585,6.473434857,6.832736622
CMP1586,9.125917101,7.866517989
CMP1587,8.459538169,10.59500792
CMP1588,6.32346946,3.788586726
CMP1589,6.791533195,5.621993174
CMP1590,9.685068057,8.787289799
CMP1591,9.575373024,10.25909567
CMP1592,8.746957205,7.220592071
CMP1593,8.584012387,8.527375234
CMP1594,9.148846811,8.583112403
CMP1595,8.52729254,7.223787507
CMP1596,9.423097421,10.11134836
CMP1597,7.884715125,10.05423649
CMP1598,7.55483097,6.714218237
CMP1599,7.06001103,8.430005473
CMP1600,7.720780369,8.761099221
CMP1601,6.9713189,8.537062309
CMP1602,9.683918401,7.414231849
CMP1603,9.121596914,10.08537892
CMP1604,9.168409888,6.899677659
CMP1605,7.543322876,7.228503616
CMP1606,7.818324882,9.725561038
CMP1607,9.015808837,5.610669904
