Compound,RF,NN
CMP165,7.983450417,8.234774537
CMP166,7.860182242,10.42549355
CMP167,9.262030872,7.385349541
CMP168,6.574406314,6.425672432
CMP169,8.911289126,11.05098084
CMP170,7.578028209,5.770396498
CMP171,8.201004878,8.079471109
CMP172,7.109876507,8.864320548
CMP173,9.666318106,9.216017603
CMP174,7.254868633,2.594299529
CMP175,7.588815812,5.631308142
CMP176,9.188594057,9.11108536
CMP177,9.232827914,10.91711489
CMP178,7.843627771,8.485831583
CMP179,9.508896618,8.958533581
CMP180,6.573644816,7.455819282
CMP181,7.520950501,9.419518212
CMP182,8.21046978,10.13602703
CMP183,9.690690631,8.332302831
CMP184,7.731650822,7.28973829
CMP185,8.25301219,5.918722561
CMP186,9.515637065,9.856669291
CMP187,8.670643746,10.36018973
CMP188,8.228264997,7.365792017
CMP189,6.842708196,8.303755912
CMP190,7.443163728,8.385620231
CMP191,9.223407031,8.932938339
CMP192,9.122656282,9.346923838
CMP193,9.596253514,9.746179891
CMP194,7.520026526,7.751956071
CMP195,9.805728331,9.467951493
CMP196,7.077241309,6.074207306
CMP197,9.449273597,9.016121497
CMP198,7.366476674,7.873193797
CMP199,9.206569209,5.943977638
CMP200,9.490081602,7.123403514
CMP201,7.154806695,7.145663245
CMP202,9.051290294,8.054650041
CMP203,9.62831933,8.749046999
CMP204,8.244953054,9.845168915
CMP205,9.297366227,7.5044628
CMP206,7.156755266,7.24174748
CMP207,6.923127323,9.004291008
CMP208,9.443027084,10.50603578
CMP209,7.948924082,8.411672619
CMP210,9.562215726,7.787327737
CMP211,9.438195823,8.633171316
CMP212,8.526368716,9.962303445
CMP213,9.616765234,10.1613201
CMP214,8.492201567,9.023681472
CMP215,9.43685878,8.021844879
CMP216,9.371597999,8.197787909
CMP217,8.603792102,7.058184677
CMP218,9.383137517,9.947460702
CMP219,8.521280443,8.76316534
CMP220,9.278976164,8.2924313
CMP221,9.376135922,10.12726755
CMP222,9.617444544,9.327126233
CMP223,8.657512499,10.97041439
CMP224,8.81692884,9.694542526
CMP225,6.881836692,4.909891293
CMP226,8.9966353,9.597721417
CMP227,9.103056845,8.024540564
CMP228,9.123935369,8.081679542
CMP229,9.485028839,10.75660596
CMP230,8.9286343,7.670768106
CMP231,9.228944816,9.263921384
CMP232,8.018820334,7.569019609
CMP233,8.755268164,6.888465104
CMP234,8.427014911,8.420806563
CMP235,9.256357708,9.722525821
CMP236,9.323311218,9.59434383
CMP237,9.233503499,9.313828233
CMP238,9.328258218,9.141231279
CMP239,9.762023737,11.23214704
CMP240,7.402206627,6.961938625
CMP241,6.821005499,5.871462684
CMP242,8.712239791,9.330942935
CMP243,7.456156258,6.329909229
CMP244,6.735503411,7.083834957
CMP245,9.365572145,7.81560654
CMP246,9.751486807,8.348821784
CMP247,6.016152264,8.406545529
CMP248,6.815359415,5.320675445
CMP249,9.350811498,9.233600526
CMP250,8.082544015,10.15789704
CMP251,9.448014901,8.671019348
CMP252,8.778102214,9.045327839
CMP253,7.568526086,8.027781985
CMP254,6.270128491,4.687841426
