"compounds","diff_models","amerdata","nndata"
"CMP1",0.44025950721589,8.76828,9.20853950721589
"CMP2",0.644078997742406,8.03799060413517,7.39391160639276
"CMP3",1.04893072221775,7.99269060949679,6.94375988727904
"CMP4",1.33668171327611,8.16156350450636,6.82488179123025
"CMP5",0.810291548250387,9.26043721194836,8.45014566369797
"CMP6",1.48296482198,8.6729303396175,7.1899655176375
"CMP7",0.748134780949448,9.56002708062505,10.3081618615745
"CMP8",3.86128725852219,9.63541884813517,5.77413158961298
"CMP9",0.638825474263262,8.68866174526457,9.32748721952783
"CMP10",1.72255971622408,8.43195160638307,10.1545113226072
"CMP11",0.848387132051972,8.326054609698,7.47766747764603
"CMP12",0.895697856542728,7.96851100590643,8.86420886244916
"CMP13",2.90653166093222,8.05822919640578,5.15169753547356
"CMP14",1.96726008568395,8.47636661538499,10.4436267010689
"CMP15",2.81834958509039,8.38726441831149,5.5689148332211
"CMP16",1.4665563230438,8.46917774514145,7.00262142209765
"CMP17",1.8745183649795,8.22631580996733,10.1008341749468
"CMP18",0.267507678416266,8.18640225991636,8.45390993833263
"CMP19",0.0750203062341637,8.20767586616937,8.13265555993521
"CMP20",0.0585946839298419,8.17135008459455,8.22994476852439
"CMP21",1.45060061287285,8.26130527296105,9.71190588583389
"CMP22",2.73579443624813,8.4771818028788,5.74138736663067
"CMP23",1.34468487747361,7.97524008346724,9.31992496094085
"CMP24",0.898748993413291,8.84820105268827,9.74695004610156
"CMP25",1.50558748075862,8.37130907468112,9.87689655543974
"CMP26",1.02417307764572,7.97680924168937,9.00098231933509
"CMP27",2.64249238369743,8.49710986003529,5.85461747633786
"CMP28",1.69263096466852,8.42878045604839,10.1214114207169
"CMP29",0.277150567675998,8.05856914273872,8.33571971041472
"CMP30",0.451368316532205,8.03097287573252,8.48234119226472
"CMP31",0.657803629415902,8.36916785520564,9.02697148462154
"CMP32",1.2409179898368,8.21759162727245,9.45850961710925
"CMP33",0.0939235098749744,8.00261791787943,8.0965414277544
"CMP34",2.51247796952803,8.05742246563591,10.5699004351639
"CMP35",2.44630835419365,8.06078685756713,5.61447850337348
"CMP36",1.30866858017175,8.57062809223516,7.26195951206341
"CMP37",0.265749050245242,9.43018891321507,9.16443986296983
"CMP38",1.87048185582931,8.27886512832256,6.40838327249325
"CMP39",1.637429299406,8.29774276512876,9.93517206453476
"CMP40",1.69531964731176,8.25720039226322,6.56188074495146
"CMP41",0.910733070298474,8.05711688372774,7.14638381342927
"CMP42",1.24591438420789,8.49074372245085,7.24482933824296
"CMP43",0.668230096716973,8.29806015679947,7.6298300600825
"CMP44",1.50545672112646,8.31895853724892,9.82441525837538
"CMP45",0.928725441172423,8.32459467548382,9.25332011665624
"CMP46",0.0402467369596646,8.56934497190283,8.60959170886249
"CMP47",0.414703117440601,7.96434328018942,7.54964016274882
"CMP48",2.08621237620878,8.09280688750262,10.1790192637114
"CMP49",0.0227976482398091,8.15205978687511,8.17485743511492
"CMP50",1.97996281036958,8.10700107293049,10.0869638833001
"CMP51",1.39840646072602,8.08108960874474,6.68268314801872
"CMP52",3.17509876994488,8.67283624689191,5.49773747694703
"CMP53",2.6088442636826,8.00915196734214,10.6179962310247
"CMP54",4.1085429488539,8.18006516535285,4.07152221649895
"CMP55",1.66122818927564,8.13557746208176,9.7968056513574
"CMP56",0.341042769949451,8.01938573653026,7.67834296658081
"CMP57",0.727908136568143,9.31559756865073,10.0435057052189
"CMP58",1.33500210836,8.08034266294355,6.74534055458355
"CMP59",2.31541734935998,8.47514727743357,6.15972992807358
"CMP60",0.259303708615622,9.34995208289533,9.09064837427971
"CMP61",0.426343544236325,8.20349267677011,7.77714913253379
"CMP62",0.0202896121407008,8.07827648532476,8.09856609746546
"CMP63",3.71658985653814,8.25599081384696,4.53940095730882
"CMP64",0.0937394637725397,8.25885012918073,8.16511066540819
"CMP65",0.816610046128362,8.56412821578714,9.3807382619155
"CMP66",1.39235480784685,8.00175867261149,6.60940386476464
"CMP67",0.107612976068074,8.01224655723464,8.11985953330271
"CMP68",0.57700247559378,9.08063912619032,9.6576416017841
"CMP69",0.90672929693856,8.04078434661325,7.13405504967469
"CMP70",1.79559083978038,8.6729303396175,6.87733949983712
"CMP71",2.65402791015227,9.35207546203699,6.69804755188472
"CMP72",1.54237234562774,8.34757972595904,6.8052073803313
"CMP73",2.45320149431987,8.13655631769821,10.5897578120181
"CMP74",2.40011838463962,8.3471231630343,10.7472415476739
"CMP75",0.844565120671213,8.91993816725235,8.07537304658114
"CMP76",1.13561837373466,8.15749894772354,9.2931173214582
"CMP77",0.49389211672479,8.06319642550322,8.55708854222801
"CMP78",4.27711856589275,7.97707667755126,3.69995811165851
"CMP79",1.56429662627713,8.05318487347047,9.6174814997476
"CMP80",1.56178256482865,8.01289533943903,9.57467790426768
"CMP81",0.529143559488759,8.33601814988178,7.80687459039302
"CMP82",0.356732024935908,8.20983534545271,8.56656737038862
"CMP83",0.554870905604387,8.85487154712278,9.40974245272717
"CMP84",0.0437277246519852,8.26130527296105,8.30503299761303
"CMP85",0.40273391291251,8.21785118595794,8.62058509887045
"CMP86",0.512843142753555,8.62424479306497,9.13708793581852
"CMP87",1.57757976929554,8.42878045604839,10.0063602253439
"CMP88",0.503026290591972,8.0783584370062,8.58138472759817
"CMP89",0.488036487436883,8.60291925684889,8.11488276941201
"CMP90",2.26868056345051,8.22653422385056,10.4952147873011
